+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
| CUUR0000SA0 | 2006 |  M05   |  202.5  |           |
| CUUR0000SA0 | 2006 |  M04   |  201.5  |           |
| CUUR0000SA0 | 2006 |  M03   |  199.8  |           |
| CUUR0000SA0 | 2006 |  M02   |  198.7  |           |
| CUUR0000SA0 | 2006 |  M01   |  198.3  |           |
| CUUR0000SA0 | 2005 |  M13   |  195.3  |           |
| CUUR0000SA0 | 2005 |  M12   |  196.8  |           |
| CUUR0000SA0 | 2005 |  M11   |  197.6  |           |
| CUUR0000SA0 | 2005 |  M10   |  199.2  |           |
| CUUR0000SA0 | 2005 |  M09   |  198.8  |           |
| CUUR0000SA0 | 2005 |  M08   |  196.4  |           |
| CUUR0000SA0 | 2005 |  M07   |  195.4  |           |
| CUUR0000SA0 | 2005 |  M06   |  194.5  |           |
| CUUR0000SA0 | 2005 |  M05   |  194.4  |           |
| CUUR0000SA0 | 2005 |  M04   |  194.6  |           |
| CUUR0000SA0 | 2005 |  M03   |  193.3  |           |
| CUUR0000SA0 | 2005 |  M02   |  191.8  |           |
| CUUR0000SA0 | 2005 |  M01   |  190.7  |           |
| CUUR0000SA0 | 2004 |  M13   |  188.9  |           |
| CUUR0000SA0 | 2004 |  M12   |  190.3  |           |
| CUUR0000SA0 | 2004 |  M11   |  191.0  |           |
| CUUR0000SA0 | 2004 |  M10   |  190.9  |           |
| CUUR0000SA0 | 2004 |  M09   |  189.9  |           |
| CUUR0000SA0 | 2004 |  M08   |  189.5  |           |
| CUUR0000SA0 | 2004 |  M07   |  189.4  |           |
| CUUR0000SA0 | 2004 |  M06   |  189.7  |           |
| CUUR0000SA0 | 2004 |  M05   |  189.1  |           |
| CUUR0000SA0 | 2004 |  M04   |  188.0  |           |
| CUUR0000SA0 | 2004 |  M03   |  187.4  |           |
| CUUR0000SA0 | 2004 |  M02   |  186.2  |           |
| CUUR0000SA0 | 2004 |  M01   |  185.2  |           |
| CUUR0000SA0 | 2003 |  M13   |  184.0  |           |
| CUUR0000SA0 | 2003 |  M12   |  184.3  |           |
| CUUR0000SA0 | 2003 |  M11   |  184.5  |           |
| CUUR0000SA0 | 2003 |  M10   |  185.0  |           |
| CUUR0000SA0 | 2003 |  M09   |  185.2  |           |
| CUUR0000SA0 | 2003 |  M08   |  184.6  |           |
| CUUR0000SA0 | 2003 |  M07   |  183.9  |           |
| CUUR0000SA0 | 2003 |  M06   |  183.7  |           |
| CUUR0000SA0 | 2003 |  M05   |  183.5  |           |
| CUUR0000SA0 | 2003 |  M04   |  183.8  |           |
| CUUR0000SA0 | 2003 |  M03   |  184.2  |           |
| CUUR0000SA0 | 2003 |  M02   |  183.1  |           |
| CUUR0000SA0 | 2003 |  M01   |  181.7  |           |
| CUUR0000SA0 | 2002 |  M13   |  179.9  |           |
| CUUR0000SA0 | 2002 |  M12   |  180.9  |           |
| CUUR0000SA0 | 2002 |  M11   |  181.3  |           |
| CUUR0000SA0 | 2002 |  M10   |  181.3  |           |
| CUUR0000SA0 | 2002 |  M09   |  181.0  |           |
| CUUR0000SA0 | 2002 |  M08   |  180.7  |           |
| CUUR0000SA0 | 2002 |  M07   |  180.1  |           |
| CUUR0000SA0 | 2002 |  M06   |  179.9  |           |
| CUUR0000SA0 | 2002 |  M05   |  179.8  |           |
| CUUR0000SA0 | 2002 |  M04   |  179.8  |           |
| CUUR0000SA0 | 2002 |  M03   |  178.8  |           |
| CUUR0000SA0 | 2002 |  M02   |  177.8  |           |
| CUUR0000SA0 | 2002 |  M01   |  177.1  |           |
| CUUR0000SA0 | 2001 |  M13   |  177.1  |           |
| CUUR0000SA0 | 2001 |  M12   |  176.7  |           |
| CUUR0000SA0 | 2001 |  M11   |  177.4  |           |
| CUUR0000SA0 | 2001 |  M10   |  177.7  |           |
| CUUR0000SA0 | 2001 |  M09   |  178.3  |           |
| CUUR0000SA0 | 2001 |  M08   |  177.5  |           |
| CUUR0000SA0 | 2001 |  M07   |  177.5  |           |
| CUUR0000SA0 | 2001 |  M06   |  178.0  |           |
| CUUR0000SA0 | 2001 |  M05   |  177.7  |           |
| CUUR0000SA0 | 2001 |  M04   |  176.9  |           |
| CUUR0000SA0 | 2001 |  M03   |  176.2  |           |
| CUUR0000SA0 | 2001 |  M02   |  175.8  |           |
| CUUR0000SA0 | 2001 |  M01   |  175.1  |           |
| CUUR0000SA0 | 2000 |  M13   |  172.2  |           |
| CUUR0000SA0 | 2000 |  M12   |  174.0  |           |
| CUUR0000SA0 | 2000 |  M11   |  174.1  |           |
| CUUR0000SA0 | 2000 |  M10   |  174.0  |           |
| CUUR0000SA0 | 2000 |  M09   |  173.7  |           |
| CUUR0000SA0 | 2000 |  M08   |  172.8  |           |
| CUUR0000SA0 | 2000 |  M07   |  172.8  |           |
| CUUR0000SA0 | 2000 |  M06   |  172.4  |           |
| CUUR0000SA0 | 2000 |  M05   |  171.5  |           |
| CUUR0000SA0 | 2000 |  M04   |  171.3  |           |
| CUUR0000SA0 | 2000 |  M03   |  171.2  |           |
| CUUR0000SA0 | 2000 |  M02   |  169.8  |           |
| CUUR0000SA0 | 2000 |  M01   |  168.8  |           |
| CUUR0000SA0 | 1999 |  M13   |  166.6  |           |
| CUUR0000SA0 | 1999 |  M12   |  168.3  |           |
| CUUR0000SA0 | 1999 |  M11   |  168.3  |           |
| CUUR0000SA0 | 1999 |  M10   |  168.2  |           |
| CUUR0000SA0 | 1999 |  M09   |  167.9  |           |
| CUUR0000SA0 | 1999 |  M08   |  167.1  |           |
| CUUR0000SA0 | 1999 |  M07   |  166.7  |           |
| CUUR0000SA0 | 1999 |  M06   |  166.2  |           |
| CUUR0000SA0 | 1999 |  M05   |  166.2  |           |
| CUUR0000SA0 | 1999 |  M04   |  166.2  |           |
| CUUR0000SA0 | 1999 |  M03   |  165.0  |           |
| CUUR0000SA0 | 1999 |  M02   |  164.5  |           |
| CUUR0000SA0 | 1999 |  M01   |  164.3  |           |
+-------------+------+--------+---------+-----------+
